data,date
0.02,2016/7/1 0:00
-0.04,2016/7/1 0:00
-0.06,2016/7/1 0:00
-0.07,2016/7/1 0:00
-0.055,2016/7/1 0:00
-0.025,2016/7/1 0:00
0.015,2016/7/1 0:00
0.05,2016/7/1 0:00
0.075,2016/7/1 0:00
0.075,2016/7/1 0:00
0.055,2016/7/1 0:00
0.025,2016/7/1 0:00
-0.01,2016/7/1 0:00
-0.035,2016/7/1 0:00
-0.045,2016/7/1 0:00
-0.04,2016/7/1 0:00
-0.02,2016/7/1 0:00
0.005,2016/7/1 0:00
0.03,2016/7/1 0:00
0.05,2016/7/1 0:00
0.055,2016/7/1 0:00
0.045,2016/7/1 0:00
0.03,2016/7/1 0:00
0.015,2016/7/1 0:00
0.005,2016/7/1 0:00
-0.005,2016/7/1 0:00
-0.005,2016/7/1 0:00
0,2016/7/1 0:00
0.005,2016/7/1 0:00
0.005,2016/7/1 0:00
-0.005,2016/7/1 0:00
-0.015,2016/7/1 0:00
-0.025,2016/7/1 0:00
-0.035,2016/7/1 0:00
-0.035,2016/7/1 0:00
-0.03,2016/7/1 0:00
-0.02,2016/7/1 0:00
-0.01,2016/7/1 0:00
0.005,2016/7/1 0:00
0.01,2016/7/1 0:00
0.005,2016/7/1 0:00
-0.005,2016/7/1 0:00
-0.015,2016/7/1 0:00
-0.03,2016/7/1 0:00
-0.045,2016/7/1 0:00
-0.05,2016/7/1 0:00
-0.045,2016/7/1 0:00
-0.035,2016/7/1 0:00
-0.025,2016/7/1 0:00
-0.01,2016/7/1 0:00
-0.005,2016/7/1 0:00
0,2016/7/1 0:00
-0.005,2016/7/1 0:00
-0.015,2016/7/1 0:00
-0.03,2016/7/1 0:00
-0.04,2016/7/1 0:00
-0.045,2016/7/1 0:00
-0.045,2016/7/1 0:00
-0.04,2016/7/1 0:00
-0.03,2016/7/1 0:01
-0.015,2016/7/1 0:01
-0.005,2016/7/1 0:01
0.005,2016/7/1 0:01
0.01,2016/7/1 0:01
0.01,2016/7/1 0:01
0.005,2016/7/1 0:01
0,2016/7/1 0:01
-0.005,2016/7/1 0:01
-0.01,2016/7/1 0:01
-0.015,2016/7/1 0:01
-0.01,2016/7/1 0:01
0,2016/7/1 0:01
0.01,2016/7/1 0:01
0.025,2016/7/1 0:01
0.035,2016/7/1 0:01
0.045,2016/7/1 0:01
0.055,2016/7/1 0:01
0.055,2016/7/1 0:01
0.055,2016/7/1 0:01
0.05,2016/7/1 0:01
0.045,2016/7/1 0:01
0.04,2016/7/1 0:01
0.035,2016/7/1 0:01
0.035,2016/7/1 0:01
0.03,2016/7/1 0:01
0.03,2016/7/1 0:01
0.025,2016/7/1 0:01
0.02,2016/7/1 0:01
0.015,2016/7/1 0:01
0.005,2016/7/1 0:01
0,2016/7/1 0:01
-0.01,2016/7/1 0:01
-0.015,2016/7/1 0:01
-0.025,2016/7/1 0:01
-0.03,2016/7/1 0:01
-0.035,2016/7/1 0:01
-0.04,2016/7/1 0:01
-0.05,2016/7/1 0:01
-0.055,2016/7/1 0:01
-0.055,2016/7/1 0:01
-0.055,2016/7/1 0:01
-0.055,2016/7/1 0:01
-0.05,2016/7/1 0:01
-0.045,2016/7/1 0:01
-0.04,2016/7/1 0:01
-0.035,2016/7/1 0:01
-0.03,2016/7/1 0:01
-0.03,2016/7/1 0:01
-0.03,2016/7/1 0:01
-0.035,2016/7/1 0:01
-0.04,2016/7/1 0:01
-0.045,2016/7/1 0:01
-0.05,2016/7/1 0:01
-0.05,2016/7/1 0:01
-0.055,2016/7/1 0:01
-0.055,2016/7/1 0:01
-0.05,2016/7/1 0:01
-0.05,2016/7/1 0:01
-0.045,2016/7/1 0:01
-0.045,2016/7/1 0:02
-0.04,2016/7/1 0:02
-0.04,2016/7/1 0:02
-0.035,2016/7/1 0:02
-0.03,2016/7/1 0:02
-0.03,2016/7/1 0:02
-0.025,2016/7/1 0:02
-0.025,2016/7/1 0:02
-0.025,2016/7/1 0:02
-0.03,2016/7/1 0:02
-0.035,2016/7/1 0:02
-0.045,2016/7/1 0:02
-0.055,2016/7/1 0:02
-0.065,2016/7/1 0:02
